episode,env_steps,ep_reward,win,safe_revealed,total_safe,ep_actions,mine_hit
535,4469,1.32,0,5,8,8,1
536,4487,3.47,0,10,13,18,1
537,4489,-0.52,0,1,4,2,1
538,4490,-1.01,0,0,3,1,1
539,4525,6.85,0,18,21,35,1
540,4530,0.95,0,4,7,5,1
541,4541,2.79,0,8,11,11,1
542,4546,0.95,0,4,7,5,1
543,4574,5.62,0,15,18,28,1
544,4625,6.99,0,20,23,51,1
545,4627,-0.52,0,1,4,2,1
546,4628,-1.01,0,0,3,1,1
547,4640,2.73,0,8,11,12,1
548,4643,-0.03,0,2,5,3,1
549,4648,0.95,0,4,7,5,1
550,4655,1.93,0,6,9,7,1
551,4657,-0.52,0,1,4,2,1
552,4692,6.85,0,18,21,35,1
553,4697,0.95,0,4,7,5,1
554,4710,4.32,0,11,14,13,1
555,4737,5.68,0,15,18,27,1
556,4749,3.28,0,9,12,12,1
557,4758,1.81,0,6,9,9,1
558,4773,3.65,0,10,13,15,1
559,4786,2.67,0,8,11,13,1
560,4791,0.95,0,4,7,5,1
561,4796,0.95,0,4,7,5,1
562,4798,-0.52,0,1,4,2,1
563,4803,0.4,0,3,6,5,1
564,4804,-1.01,0,0,3,1,1
565,4815,2.79,0,8,11,11,1
566,4823,2.42,0,7,10,8,1
567,4827,-0.09,0,2,5,4,1
568,4854,6.78,0,17,20,27,1
569,4856,-0.52,0,1,4,2,1
570,4867,2.79,0,8,11,11,1
571,4873,1.44,0,5,8,6,1
572,4877,-0.09,0,2,5,4,1
573,4879,-0.52,0,1,4,2,1
574,4882,-0.03,0,2,5,3,1
575,4897,4.2,0,11,14,15,1
576,4899,-0.52,0,1,4,2,1
577,4903,0.46,0,3,6,4,1
578,4906,-0.03,0,2,5,3,1
579,4911,0.95,0,4,7,5,1
580,4914,-0.03,0,2,5,3,1
581,4926,1.63,0,6,9,12,1
582,4932,1.44,0,5,8,6,1
583,4933,-1.01,0,0,3,1,1
584,4934,-1.01,0,0,3,1,1
585,4936,-0.52,0,1,4,2,1
586,4945,1.81,0,6,9,9,1
587,4946,-1.01,0,0,3,1,1
588,4967,4.94,0,13,16,21,1
589,4969,-0.52,0,1,4,2,1
590,4981,3.83,0,10,13,12,1
591,4990,2.36,0,7,10,9,1
592,5001,2.79,0,8,11,11,1
593,5011,2.3,0,7,10,10,1
594,5020,2.36,0,7,10,9,1
595,5023,-0.03,0,2,5,3,1
596,5038,3.1,0,9,12,15,1
597,5046,2.42,0,7,10,8,1
598,5047,-1.01,0,0,3,1,1
599,5051,-0.09,0,2,5,4,1
600,5060,2.36,0,7,10,9,1
601,5066,1.44,0,5,8,6,1
602,5081,4.2,0,11,14,15,1
603,5084,-0.03,0,2,5,3,1
604,5091,1.38,0,5,8,7,1
605,5094,-0.03,0,2,5,3,1
606,5099,0.95,0,4,7,5,1
607,5101,-0.52,0,1,4,2,1
608,5103,-0.52,0,1,4,2,1
609,5108,0.95,0,4,7,5,1
610,5113,0.4,0,3,6,5,1
611,5120,1.93,0,6,9,7,1
612,5122,-0.52,0,1,4,2,1
613,5134,2.18,0,7,10,12,1
614,5143,2.36,0,7,10,9,1
615,5152,2.36,0,7,10,9,1
616,5164,1.63,0,6,9,12,1
617,5171,1.38,0,5,8,7,1
618,5172,-1.01,0,0,3,1,1
619,5173,-1.01,0,0,3,1,1
620,5194,4.39,0,12,15,21,1
621,5200,1.44,0,5,8,6,1
622,5201,-1.01,0,0,3,1,1
623,5205,0.46,0,3,6,4,1
624,5207,-0.52,0,1,4,2,1
625,5221,3.71,0,10,13,14,1
626,5230,1.81,0,6,9,9,1
627,5231,-1.01,0,0,3,1,1
628,5254,4.82,0,13,16,23,1
629,5260,1.44,0,5,8,6,1
630,5261,-1.01,0,0,3,1,1
631,5278,4.63,0,12,15,17,1
632,5279,-1.01,0,0,3,1,1
633,5300,5.49,0,14,17,21,1
634,5301,-1.01,0,0,3,1,1
635,5308,1.93,0,6,9,7,1
636,5315,0.83,0,4,7,7,1
637,5330,4.2,0,11,14,15,1
638,5331,-1.01,0,0,3,1,1
639,5332,-1.01,0,0,3,1,1
640,5338,1.44,0,5,8,6,1
641,5341,-0.03,0,2,5,3,1
642,5345,-0.09,0,2,5,4,1
643,5352,0.83,0,4,7,7,1
644,5363,3.34,0,9,12,11,1
645,5364,-1.01,0,0,3,1,1
646,5376,2.18,0,7,10,12,1
647,5382,0.89,0,4,7,6,1
648,5388,1.44,0,5,8,6,1
649,5397,2.36,0,7,10,9,1
650,5411,3.16,0,9,12,14,1
651,5415,0.46,0,3,6,4,1
652,5416,-1.01,0,0,3,1,1
653,5430,2.06,0,7,10,14,1
654,5432,-0.52,0,1,4,2,1
655,5440,1.87,0,6,9,8,1
656,5442,-0.52,0,1,4,2,1
657,5447,0.95,0,4,7,5,1
658,5448,-1.01,0,0,3,1,1
659,5449,-1.01,0,0,3,1,1
660,5450,-1.01,0,0,3,1,1
661,5451,-1.01,0,0,3,1,1
662,5471,5.55,0,14,17,20,1
663,5485,4.26,0,11,14,14,1
664,5505,5.55,0,14,17,20,1
665,5519,3.71,0,10,13,14,1
666,5523,0.46,0,3,6,4,1
667,5525,-0.52,0,1,4,2,1
668,5532,1.38,0,5,8,7,1
669,5536,0.46,0,3,6,4,1
670,5545,2.91,0,8,11,9,1
671,5548,-0.03,0,2,5,3,1
672,5560,3.28,0,9,12,12,1
673,5579,4.51,0,12,15,19,1
674,5606,5.68,0,15,18,27,1
675,5612,1.44,0,5,8,6,1
676,5615,-0.03,0,2,5,3,1
677,5619,0.46,0,3,6,4,1
678,5620,-1.01,0,0,3,1,1
679,5629,1.81,0,6,9,9,1
680,5632,-0.03,0,2,5,3,1
681,5636,0.46,0,3,6,4,1
682,5647,3.34,0,9,12,11,1
683,5649,-0.52,0,1,4,2,1
684,5661,3.83,0,10,13,12,1
685,5664,-0.58,0,1,4,3,1
686,5673,2.36,0,7,10,9,1
687,5676,-0.03,0,2,5,3,1
688,5696,4.45,0,12,15,20,1
689,5700,0.46,0,3,6,4,1
690,5701,-1.01,0,0,3,1,1
691,5712,1.69,0,6,9,11,1
692,5714,-0.52,0,1,4,2,1
693,5719,0.95,0,4,7,5,1
694,5725,1.44,0,5,8,6,1
695,5742,4.63,0,12,15,17,1
696,5773,7.09,0,18,21,31,1
697,5775,-0.52,0,1,4,2,1
698,5814,4.41,0,14,17,39,1
699,5839,5.8,0,15,18,25,1
700,5843,0.46,0,3,6,4,1
701,5852,2.91,0,8,11,9,1
702,5859,1.38,0,5,8,7,1
703,5870,3.34,0,9,12,11,1
704,5877,1.93,0,6,9,7,1
705,5878,-1.01,0,0,3,1,1
706,5892,3.16,0,9,12,14,1
707,5893,-1.01,0,0,3,1,1
708,5913,4.45,0,12,15,20,1
709,5919,1.44,0,5,8,6,1
710,5922,-0.03,0,2,5,3,1
711,5942,5.55,0,14,17,20,1
712,5946,0.46,0,3,6,4,1
713,5947,-1.01,0,0,3,1,1
714,5963,3.04,0,9,12,16,1
715,5978,4.2,0,11,14,15,1
716,5982,0.46,0,3,6,4,1
717,5987,0.4,0,3,6,5,1
718,5997,3.4,0,9,12,10,1
719,6000,-0.03,0,2,5,3,1
720,6010,2.3,0,7,10,10,1
721,6014,0.46,0,3,6,4,1
722,6027,3.77,0,10,13,13,1
723,6033,1.44,0,5,8,6,1
724,6038,0.95,0,4,7,5,1
